String: "ananas"
Index	SA	LCP	Suffix
0	6	0	$
1	0	0	ananas$
2	2	3	anas$
3	4	1	as$
4	1	0	nanas$
5	3	2	nas$
6	5	0	s$

String: "designandanalytucs"
Index	SA	LCP	Suffix
0	18	0	$
1	11	0	alytucs$
2	9	1	analytucs$
3	6	2	andanalytucs$
4	16	0	cs$
5	8	0	danalytucs$
6	0	1	designandanalytucs$
7	1	0	esignandanalytucs$
8	4	0	gnandanalytucs$
9	3	0	ignandanalytucs$
10	12	0	lytucs$
11	10	0	nalytucs$
12	5	2	nandanalytucs$
13	7	1	ndanalytucs$
14	17	0	s$
15	2	1	signandanalytucs$
16	14	0	tucs$
17	15	0	ucs$
18	13	0	ytucs$

String: "ineedmyscholarshippleasemakefinalseasy"
Index	SA	LCP	Suffix
0	38	0	$
1	25	0	akefinalseasy$
2	31	1	alseasy$
3	12	1	arshippleasemakefinalseasy$
4	21	1	asemakefinalseasy$
5	35	2	asy$
6	8	0	cholarshippleasemakefinalseasy$
7	4	0	dmyscholarshippleasemakefinalseasy$
8	20	0	easemakefinalseasy$
9	34	3	easy$
10	3	1	edmyscholarshippleasemakefinalseasy$
11	2	1	eedmyscholarshippleasemakefinalseasy$
12	27	1	efinalseasy$
13	23	1	emakefinalseasy$
14	28	0	finalseasy$
15	15	0	hippleasemakefinalseasy$
16	9	1	holarshippleasemakefinalseasy$
17	29	0	inalseasy$
18	0	2	ineedmyscholarshippleasemakefinalseasy$
19	16	1	ippleasemakefinalseasy$
20	26	0	kefinalseasy$
21	11	0	larshippleasemakefinalseasy$
22	19	1	leasemakefinalseasy$
23	32	1	lseasy$
24	24	0	makefinalseasy$
25	5	1	myscholarshippleasemakefinalseasy$
26	30	0	nalseasy$
27	1	1	needmyscholarshippleasemakefinalseasy$
28	10	0	olarshippleasemakefinalseasy$
29	18	0	pleasemakefinalseasy$
30	17	1	ppleasemakefinalseasy$
31	13	0	rshippleasemakefinalseasy$
32	7	0	scholarshippleasemakefinalseasy$
33	33	1	seasy$
34	22	2	semakefinalseasy$
35	14	1	shippleasemakefinalseasy$
36	36	1	sy$
37	37	0	y$
38	6	1	yscholarshippleasemakefinalseasy$
